City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Prince Rupert,CA,54.3161,-130.3201,71.69,74,20,4.61,few clouds
143,Castro,BR,-24.7911,-50.0119,34.3,59,0,2.06,clear sky
144,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,63.19,100,75,4.47,light intensity shower rain
145,Mitu,CO,1.1983,-70.1733,70.95,95,71,3.02,broken clouds
146,Hondo,JP,32.45,130.2,84.15,69,37,1.48,scattered clouds
147,Fortuna,US,40.5982,-124.1573,66.85,82,20,12.66,few clouds
148,Bonfim,BR,3.0833,-59.95,72.84,91,100,2.71,overcast clouds
149,Oranjemund,NA,-28.55,16.4333,55.29,58,0,5.41,clear sky
150,Aklavik,CA,68.2191,-135.0107,67.03,50,100,10.98,overcast clouds
151,Khatanga,RU,71.9667,102.5,79.97,50,0,9.57,clear sky
152,Kaeo,NZ,-35.1,173.7833,64.33,81,78,12.19,broken clouds
153,Marzuq,YE,14.4,46.4667,78.12,61,100,5.28,overcast clouds
154,Solnechnyy,RU,50.7214,136.6319,66.02,78,70,7.9,broken clouds
155,Qandala,SO,11.472,49.8728,87.24,54,84,20.29,broken clouds
156,Mahanoro,MG,-19.9,48.8,67.96,89,97,4.27,moderate rain
157,Khandyga,RU,62.6667,135.6,68.27,40,9,5.01,clear sky
158,Lorengau,PG,-2.0226,147.2712,85.33,68,41,4.81,scattered clouds
159,Port Blair,IN,11.6667,92.75,82.54,83,92,17.13,overcast clouds
160,Tortoli,IT,39.9256,9.6572,75.02,83,0,0.0,clear sky
161,Rio Claro,BR,-22.4114,-47.5614,46.22,36,9,1.95,clear sky
162,Dikson,RU,73.5069,80.5464,43.34,82,100,14.54,overcast clouds
163,Warrensburg,US,38.7628,-93.7361,93.29,55,1,5.75,clear sky
164,Cabra,ES,37.4725,-4.4421,79.9,60,0,2.39,clear sky
165,Klaksvik,FO,62.2266,-6.589,52.72,90,100,15.66,overcast clouds
166,Kahului,US,20.8947,-156.47,87.82,74,40,25.32,scattered clouds
167,Camacha,PT,33.0833,-16.3333,68.76,68,20,13.8,few clouds
168,Mandera,KE,3.9366,41.867,75.78,58,100,18.3,overcast clouds
169,Mount Gambier,AU,-37.8333,140.7667,51.71,58,75,21.85,broken clouds
170,Beihai,CN,21.4833,109.1,86.72,75,100,6.58,overcast clouds
171,Manicore,BR,-5.8092,-61.3003,75.15,73,0,5.75,clear sky
172,Vera Cruz,BR,-12.6333,-41.0333,71.17,44,0,5.46,clear sky
173,Bone,DE,51.9669,12.1396,60.71,74,54,4.68,broken clouds
174,Kudahuvadhoo,MV,2.6708,72.8944,81.64,72,87,4.29,overcast clouds
175,Lahaina,US,20.8783,-156.6825,87.8,81,20,14.97,light intensity drizzle
176,Shemonaikha,KZ,50.6328,81.9056,61.2,63,100,5.66,overcast clouds
177,Japura,ID,-0.3167,102.35,78.17,63,100,2.73,overcast clouds
178,Cidreira,BR,-30.1811,-50.2056,45.43,71,16,9.06,few clouds
179,Chuy,UY,-33.6971,-53.4616,41.65,83,11,6.04,few clouds
180,Mar Del Plata,AR,-38.0023,-57.5575,51.13,68,0,1.99,clear sky
181,Seydi,TM,39.4816,62.9137,77.49,25,0,14.18,clear sky
182,Ronne,DK,55.1009,14.7066,64.31,72,75,23.02,broken clouds
183,Asau,RO,46.4333,26.4,68.76,96,0,3.87,clear sky
184,Yulara,AU,-25.2406,130.9889,64.24,45,0,8.05,clear sky
185,Riviere-Au-Renard,CA,48.9957,-64.3971,64.4,72,99,5.08,overcast clouds
186,Kodiak,US,57.79,-152.4072,56.71,67,90,9.22,overcast clouds
187,De Aar,ZA,-30.6497,24.0123,40.5,43,0,2.82,clear sky
188,Thio,NC,-21.6167,166.2167,78.76,53,6,8.34,clear sky
189,Narsaq,GL,60.9167,-46.05,48.42,86,100,3.42,overcast clouds
190,Naranjal,EC,-2.6667,-79.6167,75.52,87,100,2.24,overcast clouds
191,Cockburn Town,TC,21.4612,-71.1419,82.29,79,0,20.74,clear sky
192,Bonavista,CA,48.6499,-53.1147,63.12,82,1,10.51,clear sky
193,Taltal,CL,-25.4,-70.4833,61.29,57,0,5.39,clear sky
194,Harper,LR,4.375,-7.7169,75.97,85,100,5.5,overcast clouds
195,Olafsvik,IS,64.8945,-23.7142,53.06,86,100,5.46,overcast clouds
196,Pasuruan,ID,-7.6453,112.9075,78.69,62,78,0.6,broken clouds
197,Vardo,NO,70.3705,31.1107,45.07,86,100,5.08,overcast clouds
198,Dutse,NG,11.7594,9.3392,74.05,87,100,6.42,overcast clouds
199,Leningradskiy,RU,69.3833,178.4167,32.95,95,100,20.92,light snow
200,Hualmay,PE,-11.0964,-77.6139,63.88,84,75,7.78,broken clouds
201,Tautira,PF,-17.7333,-149.15,80.62,76,23,6.8,few clouds
202,Codrington,AU,-38.2667,141.9667,52.48,64,96,26.31,overcast clouds
203,La Macarena,CO,2.1837,-73.7849,70.23,98,34,2.44,scattered clouds
204,Mandalgovi,MN,45.7625,106.2708,66.06,50,5,14.7,clear sky
205,Bikin,RU,46.8161,134.26,73.04,85,100,0.22,light rain
