City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Omsukchan,RU,62.5333,155.8,36.05,97,100,8.3,light rain
143,Thompson,CA,55.7435,-97.8558,73.56,43,75,5.75,broken clouds
144,Katav-Ivanovsk,RU,54.7531,58.1956,55.26,65,100,6.62,moderate rain
145,Ocampo,MX,21.65,-101.5,67.89,50,84,16.6,broken clouds
146,Kaitangata,NZ,-46.2817,169.8464,52.93,75,67,7.92,light rain
147,Neryungri,RU,56.6709,124.6491,60.21,61,18,9.62,few clouds
148,Hobart,AU,-42.8794,147.3294,54.27,67,75,1.01,broken clouds
149,Sorland,NO,67.667,12.6934,50.23,86,2,27.6,clear sky
150,Charters Towers,AU,-20.1,146.2667,76.1,37,22,2.62,few clouds
151,Cabo San Lucas,MX,22.8909,-109.9124,95.5,71,20,8.01,few clouds
152,Tuktoyaktuk,CA,69.4541,-133.0374,59.0,88,75,6.91,broken clouds
153,Chase,CA,50.8165,-119.6857,93.38,17,4,1.57,clear sky
154,Yar-Sale,RU,66.8333,70.8333,49.33,93,100,16.17,overcast clouds
155,Ostersund,SE,63.1792,14.6357,57.65,94,90,5.75,overcast clouds
156,Viedma,AR,-40.8135,-62.9967,52.66,34,1,12.01,clear sky
157,Do Gonbadan,IR,30.3586,50.7981,77.09,27,0,0.0,clear sky
158,Ribeira Grande,PT,38.5167,-28.7,70.79,88,4,10.25,clear sky
159,Kisangani,CD,0.5167,25.2,70.21,82,54,1.48,broken clouds
160,Biak,ID,-0.9131,122.8766,79.36,77,94,4.88,overcast clouds
161,Rani,IN,25.3503,73.3089,79.75,84,92,13.38,overcast clouds
162,Kyra,RU,49.5776,111.9753,60.53,99,100,3.42,overcast clouds
163,Chocen,CZ,50.0016,16.223,65.97,86,32,2.3,scattered clouds
164,Bria,CF,6.5423,21.9863,67.41,95,46,1.25,scattered clouds
165,Siguiri,GN,11.6667,-9.5,71.58,96,98,3.62,light rain
166,Sioux Lookout,CA,50.1001,-91.917,68.38,37,20,6.91,few clouds
167,Maydolong,PH,11.4992,125.5011,85.26,65,97,2.82,overcast clouds
168,Husavik,IS,66.0449,-17.3389,51.71,93,99,1.81,overcast clouds
169,Aklavik,CA,68.2191,-135.0107,67.03,51,100,11.07,overcast clouds
170,Anina,RO,45.0794,21.8569,60.04,61,2,3.94,clear sky
171,Zyryanka,RU,65.75,150.85,46.24,75,100,5.59,overcast clouds
172,Faanui,PF,-16.4833,-151.75,78.31,75,61,10.65,light rain
173,Umrala,IN,21.8333,71.8167,80.35,81,100,13.82,overcast clouds
174,Sechura,PE,-5.5569,-80.8222,70.05,74,67,17.29,broken clouds
175,Chokurdakh,RU,70.6333,147.9167,47.84,49,93,6.13,overcast clouds
176,Betare Oya,CM,5.6,14.0833,66.06,97,90,2.17,light rain
177,Banda Aceh,ID,5.5577,95.3222,81.45,78,100,13.47,overcast clouds
178,Mwense,ZM,-10.3845,28.698,59.65,44,0,5.66,clear sky
179,Nandigama,IN,16.7833,80.3,82.2,69,100,11.14,overcast clouds
180,Port Lincoln,AU,-34.7333,135.8667,59.54,57,22,21.05,few clouds
181,Kautokeino,NO,69.0125,23.0412,44.94,80,100,7.87,overcast clouds
182,Srednekolymsk,RU,67.45,153.6833,46.2,55,33,9.04,scattered clouds
183,Cukai,MY,4.25,103.4167,77.14,87,100,3.98,heavy intensity rain
184,Port Blair,IN,11.6667,92.75,81.88,84,98,17.18,overcast clouds
185,Berlevag,NO,70.8578,29.0864,44.2,85,100,4.05,overcast clouds
186,Praia Da Vitoria,PT,38.7333,-27.0667,73.76,94,75,9.53,broken clouds
187,Hithadhoo,MV,-0.6,73.0833,82.29,70,100,3.65,overcast clouds
188,Barrow,US,71.2906,-156.7887,51.82,87,90,4.61,light rain
189,Lavrentiya,RU,65.5833,-171.0,47.14,85,80,13.04,broken clouds
190,Kenora,CA,49.8167,-94.4337,71.78,37,90,3.44,smoke
191,Pochutla,MX,15.7432,-96.4661,82.22,82,100,3.76,overcast clouds
192,Raga,SS,8.4596,25.678,68.83,96,98,5.1,overcast clouds
193,Provideniya,RU,64.3833,-173.3,51.91,76,75,15.66,broken clouds
194,Peace River,CA,56.2501,-117.286,82.71,26,20,16.11,few clouds
195,Baruun-Urt,MN,46.6806,113.2792,69.31,65,9,3.78,clear sky
196,Vung Tau,VN,10.346,107.0843,80.8,81,100,15.14,overcast clouds
197,Bereda,ES,43.2686,-7.5406,59.92,97,6,1.99,clear sky
198,Cayenne,GF,4.9333,-52.3333,79.09,88,0,0.0,clear sky
199,Ponta Do Sol,PT,32.6667,-17.1,72.23,77,13,7.34,few clouds
200,Naze,JP,28.3667,129.4833,83.32,79,23,2.86,few clouds
201,Vila Velha,BR,-20.3297,-40.2925,66.15,68,75,14.97,broken clouds
202,Kavieng,PG,-2.5744,150.7967,84.52,70,38,5.37,scattered clouds
